Indicadores municipales de sostenibilidad: Tasa de afiliación.a la S.S. Sector Industria (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
Araba/Álava;;21,06;21,46;21,83;22,12;22,28;22,50;22,53;22,24;22,42;23,17;23,76
Bizkaia;;14,61;14,80;15,04;15,35;15,60;15,86;15,91;15,82;16,03;16,55;16,80
CAE;;17,69;17,94;18,19;18,46;18,66;18,85;18,89;18,87;19,15;19,79;20,19
Gipuzkoa;;20,84;21,13;21,33;21,50;21,66;21,73;21,80;22,01;22,46;23,21;23,76
"";;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
01100;Arabako Ibarrak / Valles Alaveses;22,88;22,59;23,48;24,33;25,87;26,28;25,93;25,81;24,79;24,85;24,42
01200;Arabako Lautada / Llanada Alavesa;20,28;20,64;21,03;21,30;21,45;21,59;21,62;21,30;21,37;21,96;22,62
01300;Arabako Mendialdea / Montaña Alavesa;22,43;23,03;22,39;23,08;23,87;25,42;25,25;25,30;24,55;26,49;26,15
48100;Arratia Nerbioi / Arratia-Nervión;23,44;23,92;24,17;25,31;25,85;26,37;25,86;25,71;25,79;26,93;27,04
20200;Bidasoa Beherea / Bajo Bidasoa;13,82;13,50;13,85;13,54;13,61;13,67;13,69;13,71;13,87;14,26;14,95
48200;Bilbo Handia / Gran Bilbao;12,16;12,19;12,35;12,61;12,78;12,96;13,03;12,94;13,21;13,70;13,91
20100;Deba Beherea / Bajo Deba;30,26;30,91;31,42;32,02;32,16;32,62;32,82;33,31;33,69;34,81;35,72
20300;Debagoiena / Alto Deba;35,63;36,27;36,41;37,36;37,43;37,55;37,46;37,75;40,89;42,97;43,77
20400;Donostialdea / Donostia-San Sebastián;13,37;13,34;13,52;13,53;13,61;13,62;13,69;13,65;13,78;14,09;14,45
48300;Durangaldea / Duranguesado;29,51;30,23;30,45;31,07;31,56;31,97;32,15;32,16;32,22;33,00;33,43
48400;Enkartazioak / Encartaciones;16,65;15,96;16,05;16,35;16,30;16,45;16,48;16,05;15,69;16,23;16,76
01400;Errioxa Arabarra / Rioja Alavesa;21,92;21,46;21,07;21,19;21,05;20,98;20,63;20,92;21,28;21,71;21,44
48500;Gernika-Bermeo;17,04;17,65;18,49;18,78;19,14;20,03;19,90;19,94;20,01;20,32;20,90
20500;Goierri;32,64;33,51;33,92;33,99;34,40;34,55;34,82;35,61;35,96;36,77;37,46
