Indicadores municipales de sostenibilidad: Tasa de afiliación.a la S.S. Sector Primario (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
Araba/Álava;;1,77;1,74;1,86;1,81;1,87;1,91;1,97;2,02;2,09;2,10;2,10
Bizkaia;;0,77;0,69;0,73;0,72;0,73;0,73;0,75;0,77;0,78;0,79;0,78
CAE;;0,93;0,88;0,93;0,91;0,94;0,95;0,98;1,00;1,02;1,03;1,02
Gipuzkoa;;0,80;0,76;0,81;0,80;0,83;0,85;0,87;0,90;0,91;0,91;0,90
"";;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
01100;Arabako Ibarrak / Valles Alaveses;9,42;11,35;11,89;11,82;12,07;12,54;13,64;13,89;15,06;15,33;15,52
01200;Arabako Lautada / Llanada Alavesa;0,72;0,64;0,67;0,65;0,68;0,69;0,70;0,75;0,78;0,77;0,76
01300;Arabako Mendialdea / Montaña Alavesa;12,87;13,80;14,99;14,15;14,50;15,01;15,90;16,44;17,62;17,82;18,12
48100;Arratia Nerbioi / Arratia-Nervión;2,01;2,27;2,34;2,39;2,46;2,49;2,63;2,59;2,62;2,69;2,67
20200;Bidasoa Beherea / Bajo Bidasoa;0,57;0,48;0,56;0,57;0,55;0,54;0,58;0,62;0,66;0,66;0,65
48200;Bilbo Handia / Gran Bilbao;0,36;0,26;0,27;0,25;0,25;0,24;0,25;0,25;0,25;0,24;0,23
20100;Deba Beherea / Bajo Deba;1,11;0,90;0,99;1,04;1,10;1,12;1,12;1,14;1,20;1,23;1,27
20300;Debagoiena / Alto Deba;0,62;0,53;0,54;0,55;0,59;0,64;0,61;0,63;0,60;0,54;0,54
20400;Donostialdea / Donostia-San Sebastián;0,51;0,45;0,46;0,44;0,45;0,46;0,48;0,49;0,49;0,49;0,47
48300;Durangaldea / Duranguesado;0,93;0,83;0,87;0,86;0,85;0,85;0,86;0,90;0,93;0,91;0,90
48400;Enkartazioak / Encartaciones;3,26;3,51;3,85;4,12;4,06;4,29;4,43;4,48;4,66;4,64;4,56
