Indicadores municipales de sostenibilidad: Tasa de creación de nuevos establecimientos (? habitantes);;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;5,34;5,22;4,88;5,52;7,83;5,25;6,66;7,00;7,13;6,13;6,48;6,42;6,08;5,38;5,74;7,02;9,36;7,09;8,71;5,23;6,45
Bizkaia;;6,14;6,14;5,65;6,60;7,44;6,41;6,90;7,42;7,50;7,06;6,13;6,91;6,36;6,70;6,29;8,09;8,75;8,33;9,57;6,86;6,87
CAE;;6,00;5,94;5,51;6,09;7,47;6,17;6,86;7,34;7,35;6,77;6,31;6,78;6,17;6,56;6,17;8,07;9,45;8,44;9,66;6,94;7,18
Gipuzkoa;;6,08;5,96;5,60;5,54;7,36;6,21;6,90;7,37;7,20;6,61;6,51;6,75;5,91;6,86;6,17;8,52;10,66;8,85;10,22;7,82;8,00
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;7,26;7,44;6,51;5,96;13,05;7,56;15,20;12,37;6,21;7,67;12,65;6,65;6,68;6,07;4,30;5,80;0,00;0,00;0,00;0,00;0,00
01200;Arabako Lautada / Llanada Alavesa;5,20;5,08;4,63;5,31;6,73;4,87;6,00;6,32;7,33;6,00;5,63;6,40;6,22;5,35;5,92;7,06;0,00;0,00;0,00;0,00;0,00
01300;Arabako Mendialdea / Montaña Alavesa;9,63;3,72;5,29;8,06;14,92;6,31;9,63;11,35;8,35;7,91;14,44;6,27;4,69;7,82;3,75;2,51;0,00;0,00;0,00;0,00;0,00
48100;Arratia Nerbioi / Arratia-Nervión;6,73;4,85;3,86;5,56;7,13;6,03;7,32;7,21;7,34;6,23;6,27;5,98;4,49;5,27;5,24;8,12;0,00;0,00;0,00;0,00;0,00
20200;Bidasoa Beherea / Bajo Bidasoa;6,54;6,81;6,34;5,83;8,21;6,84;7,77;8,13;8,63;8,29;7,14;7,79;6,75;8,11;7,26;9,79;0,00;0,00;0,00;0,00;0,00
48200;Bilbo Handia / Gran Bilbao;6,42;6,35;5,91;6,82;7,65;6,67;7,06;7,53;7,79;7,32;6,07;7,14;6,66;6,82;6,38;8,08;0,00;0,00;0,00;0,00;0,00
20100;Deba Beherea / Bajo Deba;4,06;4,76;4,24;4,05;5,83;4,98;5,38;5,70;5,84;4,56;5,42;5,57;5,32;5,82;4,51;5,39;0,00;0,00;0,00;0,00;0,00
20300;Debagoiena / Alto Deba;3,77;3,59;3,72;3,70;4,32;4,01;4,22;4,47;4,65;4,19;5,12;4,62;4,26;4,27;4,41;5,46;0,00;0,00;0,00;0,00;0,00
20400;Donostialdea / Donostia-San Sebastián;7,02;6,82;6,27;6,54;8,38;7,22;7,89;8,76;8,28;7,64;6,87;7,33;6,64;7,35;6,86;9,06;0,00;0,00;0,00;0,00;0,00
48300;Durangaldea / Duranguesado;4,71;5,25;4,61;5,68;5,88;4,81;6,22;6,35;5,84;5,62;5,76;5,93;6,03;6,15;6,17;8,27;0,00;0,00;0,00;0,00;0,00
48400;Enkartazioak / Encartaciones;5,01;5,30;5,49;6,86;8,13;6,18;7,66;8,29;7,96;7,10;8,62;6,72;5,45;6,39;6,23;7,54;0,00;0,00;0,00;0,00;0,00
01400;Errioxa Arabarra / Rioja Alavesa;7,22;7,40;12,12;8,58;33,58;13,70;20,14;17,92;10,82;10,26;20,30;11,62;7,72;6,97;6,75;7,12;0,00;0,00;0,00;0,00;0,00
48500;Gernika-Bermeo;5,25;4,91;4,42;4,86;6,29;5,65;6,07;7,07;6,78;6,07;5,30;6,23;5,25;6,85;5,61;8,96;0,00;0,00;0,00;0,00;0,00
20500;Goierri;5,49;5,17;4,55;4,53;6,40;5,17;5,65;5,65;5,58;5,25;5,85;6,09;4,93;6,20;5,32;10,66;0,00;0,00;0,00;0,00;0,00
01500;Gorbeia Inguruak / Estribaciones del Gorbea;4,97;4,47;5,26;6,03;9,29;8,41;8,45;8,23;4,78;5,93;9,88;7,78;7,27;8,56;5,43;7,69;0,00;0,00;0,00;0,00;0,00
01600;Kantauri Arabarra / Cantábrica Alavesa;3,92;3,99;3,08;4,89;5,76;4,05;4,98;6,88;5,07;5,34;5,51;4,42;4,20;3,90;4,54;4,80;0,00;0,00;0,00;0,00;0,00
48600;Markina-Ondarroa;3,51;3,54;3,32;4,36;5,72;4,20;5,09;5,25;5,10;5,42;5,89;4,32;4,05;4,77;4,42;5,10;0,00;0,00;0,00;0,00;0,00
48700;Plentzia-Mungia;6,25;6,85;5,67;6,40;8,45;7,09;6,49;8,43;7,50;7,39;7,03;7,35;5,56;7,38;7,06;8,19;0,00;0,00;0,00;0,00;0,00
20600;Tolosaldea / Tolosa;5,62;4,70;5,44;4,44;6,84;5,38;5,96;6,40;6,03;4,62;6,62;5,55;4,92;7,37;5,12;6,63;0,00;0,00;0,00;0,00;0,00
20700;Urola-Kostaldea / Urola Costa;5,40;5,26;5,03;4,70;6,96;5,47;6,83;6,45;6,46;6,44;6,86;7,13;5,17;6,60;6,14;7,93;0,00;0,00;0,00;0,00;0,00
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
48001;Abadiño;5,67;5,56;3,52;5,59;6,47;4,17;6,55;6,33;6,76;6,11;6,38;5,89;5,68;7,61;7,36;6,87;4,58;8,00;6,82;6,75;8,68
20001;Abaltzisketa;3,15;0,00;9,80;6,43;12,46;6,23;9,46;12,62;3,15;6,27;15,62;3,13;6,33;9,55;3,17;9,52;12,94;23,41;3,38;3,38;3,38
48002;Abanto y Ciérvana-Abanto Zierbena;5,01;4,81;3,10;5,92;5,80;5,04;6,89;6,16;6,66;6,31;4,93;4,91;5,44;4,83;5,27;6,46;5,75;11,11;8,21;7,69;5,94
20002;Aduna;14,00;14,20;4,16;8,32;14,52;8,33;12,47;0,00;17,20;15,02;17,39;13,33;13,42;25,23;4,85;15,58;13,59;24,73;27,93;20,11;20,41
20016;Aia;10,83;12,41;9,74;4,48;18,07;10,95;15,82;7,41;8,40;7,93;18,41;6,98;5,53;11,60;5,09;12,18;12,04;7,75;13,96;4,49;6,28
20003;Aizarnazabal;2,65;5,33;10,50;3,90;3,92;13,07;6,51;11,81;6,62;10,60;5,32;10,75;9,67;5,74;9,01;15,58;3,17;12,84;9,62;9,54;0,00
48911;Ajangiz;6,48;6,47;2,15;11,04;8,95;10,96;0,00;6,47;15,25;8,79;4,44;0,00;2,21;8,95;4,56;2,29;0,00;4,61;4,65;2,34;2,35
20004;Albiztur;3,23;0,00;6,62;10,07;16,95;6,69;6,60;9,77;3,28;0,00;3,29;10,07;0,00;17,24;0,00;16,61;6,76;10,38;6,90;0,00;13,61
20005;Alegia;5,44;4,43;3,88;4,98;5,63;3,99;6,27;5,69;5,66;6,75;6,15;5,58;6,72;5,69;3,48;7,04;2,98;4,82;3,06;5,62;6,40
01001;Alegría-Dulantzi;4,72;4,41;3,18;2,88;5,47;4,22;4,57;8,62;6,33;5,27;8,27;3,67;4,05;4,19;5,07;6,11;6,23;8,46;10,16;8,13;6,71
20006;Alkiza;5,68;11,43;8,67;0,00;17,24;8,57;5,68;5,75;11,49;11,27;13,74;8,29;2,86;11,73;8,67;5,75;3,02;3,14;15,97;3,29;10,27
48912;Alonsotegi;5,34;3,38;6,10;5,20;6,70;3,86;7,04;5,27;5,59;5,24;4,56;7,70;5,63;3,88;6,33;8,44;4,95;8,93;10,07;5,77;10,40
20906;Altzaga;0,00;5,92;0,00;5,65;5,38;16,13;5,43;16,76;5,68;0,00;12,05;12,20;6,25;6,37;12,66;12,74;6,49;0,00;20,00;6,62;13,89
