Indicadores municipales de sostenibilidad: Tasa de ocupación de la población de 16 y mas años (%);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2016;2015;2011;2006;2001;1996
Araba/Álava;;53,31;52,96;51,03;52,29;52,35;52,05;50,60;51,20;50,66;55,09;51,68;42,41
Bizkaia;;51,43;50,05;48,59;49,52;49,17;48,66;47,15;47,27;46,70;50,61;44,85;35,81
CAE;;52,46;51,33;49,74;50,79;50,58;50,09;48,46;48,69;48,15;51,91;47,39;38,01
Gipuzkoa;;53,72;52,65;51,00;52,17;52,06;51,52;49,62;49,89;49,41;52,65;49,86;39,91
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2016;2015;2011;2006;2001;1996
01100;Arabako Ibarrak / Valles Alaveses;54,68;52,53;50,82;50,89;50,94;49,99;49,17;49,90;49,54;51,75;51,92;44,09
01200;Arabako Lautada / Llanada Alavesa;53,37;53,09;51,19;52,65;52,70;52,40;50,96;51,57;51,13;55,80;52,70;43,09
01300;Arabako Mendialdea / Montaña Alavesa;54,83;54,04;51,90;52,86;52,93;51,48;50,76;50,08;48,57;49,64;47,93;43,93
48100;Arratia Nerbioi / Arratia-Nervión;53,52;52,39;50,93;52,13;52,46;51,94;51,23;51,30;50,44;53,29;46,74;38,99
20200;Bidasoa Beherea / Bajo Bidasoa;51,57;50,79;48,92;49,89;50,02;49,65;47,53;48,25;48,32;52,86;50,45;39,05
48200;Bilbo Handia / Gran Bilbao;50,73;49,30;47,87;48,87;48,40;47,84;46,27;46,44;45,89;49,90;43,99;34,95
20100;Deba Beherea / Bajo Deba;51,31;50,51;49,20;50,00;50,33;49,91;47,70;47,93;47,06;50,48;47,64;38,17
20300;Debagoiena / Alto Deba;52,69;51,98;50,63;51,71;51,62;51,40;49,47;49,74;50,16;54,06;53,07;44,09
20400;Donostialdea / Donostia-San Sebastián;53,92;52,55;50,83;52,17;52,01;51,45;49,69;50,05;49,42;52,22;49,57;39,11
48300;Durangaldea / Duranguesado;54,56;53,25;51,80;52,51;52,72;52,39;51,22;50,81;49,74;54,33;49,43;39,61
48400;Enkartazioak / Encartaciones;50,55;49,46;48,49;48,61;48,33;47,73;45,79;46,13;46,29;50,11;41,92;33,92
01400;Errioxa Arabarra / Rioja Alavesa;52,47;51,32;48,76;47,80;48,41;47,96;45,99;47,28;45,30;49,23;48,10;41,99
48500;Gernika-Bermeo;50,58;49,52;47,82;48,35;48,41;48,20;46,74;46,63;46,39;49,07;44,43;36,88
20500;Goierri;53,57;52,81;51,51;52,87;52,50;51,81;50,08;50,14;48,87;52,28;48,00;39,00
01500;Gorbeia Inguruak / Estribaciones del Gorbea;57,24;57,39;55,67;57,20;57,28;58,30;56,87;57,55;56,91;60,82;56,26;48,68
01600;Kantauri Arabarra / Cantábrica Alavesa;51,65;51,25;49,37;49,94;49,98;49,61;48,07;48,49;47,88;51,68;45,07;36,57
48600;Markina-Ondarroa;50,05;49,01;46,97;47,90;47,53;47,50;46,25;46,32;45,70;48,81;48,02;40,41
48700;Plentzia-Mungia;57,51;55,94;54,48;55,62;55,38;55,22;53,89;54,21;54,11;57,83;52,04;42,04
20600;Tolosaldea / Tolosa;55,48;54,43;52,95;53,96;53,95;53,09;51,81;51,73;51,32;53,96;49,48;40,51
20700;Urola-Kostaldea / Urola Costa;56,69;55,83;53,80;54,74;54,46;53,74;51,20;51,05;50,97;54,41;51,44;42,78
"";;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2016;2015;2011;2006;2001;1996
48001;Abadiño;55,09;53,96;52,81;54,15;54,42;54,38;53,90;53,50;51,98;57,25;51,03;40,98
20001;Abaltzisketa;59,35;61,74;60,84;62,98;58,17;55,43;54,18;55,95;52,99;52,05;52,79;45,45
48002;Abanto y Ciérvana-Abanto Zierbena;53,75;52,11;50,32;51,52;51,76;50,73;49,15;49,55;48,41;53,30;45,79;32,50
20002;Aduna;68,56;65,69;67,03;65,42;65,25;65,04;62,50;61,41;63,28;58,75;53,08;44,53
20016;Aia;62,17;61,32;60,26;60,50;60,15;58,09;56,21;56,34;54,41;55,17;55,53;46,77
20003;Aizarnazabal;58,06;55,14;53,59;56,57;56,18;55,75;53,77;54,00;55,75;61,58;47,91;47,03
48911;Ajangiz;55,39;54,52;52,66;56,73;58,66;56,77;57,65;55,70;54,71;53,91;50,00;44,78
20004;Albiztur;62,50;59,15;57,14;62,11;62,45;57,87;56,56;59,67;52,72;55,42;50,81;41,57
20005;Alegia;54,09;53,63;51,29;52,40;51,11;51,04;48,18;49,16;50,37;51,49;48,36;36,48
01001;Alegría-Dulantzi;64,83;61,43;59,43;61,81;61,68;63,20;62,35;63,96;63,70;70,12;59,04;44,24
20006;Alkiza;58,24;60,75;55,68;60,38;61,00;63,28;61,96;63,50;58,21;60,23;53,78;48,03
48912;Alonsotegi;50,98;50,65;49,22;49,90;48,15;49,18;45,97;45,77;45,30;50,22;39,93;30,64
20906;Altzaga;53,33;57,89;50,78;50,72;53,57;50,00;53,91;55,12;55,37;62,60;59,55;50,00
20007;Altzo;60,12;57,59;54,69;55,06;62,46;57,39;55,43;55,60;59,33;60,00;48,28;42,59
20008;Amezketa;53,49;56,34;52,54;54,06;54,28;53,35;50,85;52,54;49,12;50,73;52,58;44,70
48003;Amorebieta-Etxano;57,02;55,44;53,44;54,65;54,45;54,13;52,37;52,14;51,77;55,21;48,79;38,45
48004;Amoroto;52,71;49,70;49,57;49,28;50,87;50,99;52,33;53,29;52,23;51,04;55,73;47,98
01002;Amurrio;52,63;52,35;50,69;51,11;51,50;50,59;49,06;49,48;48,90;52,78;47,09;38,42
20009;Andoain;53,75;52,11;51,26;52,44;51,93;51,15;49,60;50,15;49,41;54,12;47,47;37,80
20010;Anoeta;58,63;57,72;56,59;58,31;57,80;56,99;54,58;54,22;52,37;57,41;54,62;40,51
20011;Antzuola;58,84;58,36;56,16;57,12;57,12;57,59;55,66;55,35;54,05;56,78;51,57;44,42
48005;Arakaldo;68,35;63,12;57,97;58,96;62,41;60,16;62,20;54,03;56,57;44,44;41,18;38,24
20012;Arama;59,26;52,66;53,25;56,73;55,03;58,38;55,56;54,07;55,97;49,31;41,73;44,60
01003;Aramaio;54,77;53,14;51,51;53,65;55,32;54,78;52,94;52,90;55,19;58,05;57,76;51,17
48006;Arantzazu;57,02;53,26;51,14;54,09;54,22;53,47;54,30;53,42;54,18;48,70;46,54;35,94
48093;Areatza;56,35;53,46;51,67;54,11;55,76;54,00;51,40;51,03;52,64;52,83;40,20;37,24
20013;Aretxabaleta;55,35;54,43;53,21;54,59;54,16;54,19;53,15;52,57;53,53;59,28;56,99;48,63
01006;Armiñón;59,69;64,25;58,92;61,54;62,90;63,37;61,58;62,30;52,02;57,14;52,35;51,22
01037;Arraia-Maeztu;58,20;58,63;55,74;58,21;56,96;56,07;54,55;53,71;54,55;51,22;49,93;43,35
