Indicadores municipales de sostenibilidad: Tasa de ocupación de las mujeres de 16 y más años (%);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2016;2015;2011;2006;2001;1996
Araba/Álava;;49,78;49,48;47,64;48,67;48,27;47,87;46,74;47,67;45,89;46,46;40,11;28,31
Bizkaia;;48,03;46,54;45,12;45,86;45,12;44,49;43,10;43,49;41,53;41,74;33,37;22,93
CAE;;49,04;47,85;46,27;47,07;46,47;45,89;44,38;44,89;43,01;43,06;35,83;24,69
Gipuzkoa;;50,37;49,25;47,53;48,33;47,87;47,29;45,44;45,97;44,23;43,80;38,24;26,21
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2016;2015;2011;2006;2001;1996
01100;Arabako Ibarrak / Valles Alaveses;50,90;49,48;46,28;47,05;44,42;43,16;43,23;44,75;43,27;40,66;38,69;30,50
01200;Arabako Lautada / Llanada Alavesa;49,98;49,79;47,99;49,26;48,93;48,48;47,46;48,41;46,67;47,59;41,68;29,47
01300;Arabako Mendialdea / Montaña Alavesa;50,85;50,87;48,85;49,01;48,80;48,09;45,82;45,14;41,86;38,50;35,50;29,66
48100;Arratia Nerbioi / Arratia-Nervión;50,21;49,08;47,79;48,78;48,54;47,65;46,91;47,45;45,02;43,26;32,55;23,24
20200;Bidasoa Beherea / Bajo Bidasoa;48,03;47,26;45,52;46,17;45,65;45,23;43,39;44,18;42,76;44,03;38,09;24,67
48200;Bilbo Handia / Gran Bilbao;47,21;45,71;44,31;45,16;44,35;43,69;42,30;42,75;40,79;41,13;32,85;22,76
20100;Deba Beherea / Bajo Deba;47,13;46,16;44,94;45,24;45,30;44,77;42,57;42,98;40,95;40,32;34,12;23,20
20300;Debagoiena / Alto Deba;49,19;48,72;47,25;47,77;47,54;47,20;45,55;46,35;45,86;46,07;41,68;29,51
20400;Donostialdea / Donostia-San Sebastián;50,99;49,55;47,67;48,78;48,40;47,90;46,21;46,72;44,87;44,27;39,60;27,41
48300;Durangaldea / Duranguesado;50,81;49,25;47,95;48,43;48,09;47,41;45,93;45,86;43,78;44,26;35,34;22,07
48400;Enkartazioak / Encartaciones;46,94;45,30;44,24;44,11;43,37;42,59;40,64;41,55;39,97;39,84;27,84;18,77
01400;Errioxa Arabarra / Rioja Alavesa;46,68;45,04;42,90;41,50;41,08;41,62;39,89;41,39;38,60;37,73;32,61;24,55
48500;Gernika-Bermeo;48,32;47,37;45,40;45,71;45,43;45,44;44,05;44,02;42,39;41,28;34,43;23,67
20500;Goierri;48,96;48,10;46,80;47,58;46,47;45,55;43,72;44,23;41,75;40,90;33,22;22,15
01500;Gorbeia Inguruak / Estribaciones del Gorbea;54,75;54,99;53,48;53,91;53,53;54,34;53,34;54,24;52,58;51,83;45,54;34,75
01600;Kantauri Arabarra / Cantábrica Alavesa;47,69;46,98;45,16;45,40;44,85;44,40;42,60;43,31;41,68;41,46;30,80;20,06
48600;Markina-Ondarroa;48,01;46,95;44,84;45,28;44,69;44,16;42,97;43,07;41,24;40,66;37,03;27,00
48700;Plentzia-Mungia;55,37;53,65;52,28;52,74;51,98;51,57;50,38;50,76;49,31;49,91;40,91;28,17
