Indicadores municipales de sostenibilidad: Tasa de ocupación juvenil de la población de 16 a 24 años (%);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2016;2015;2011;2006;2001;1996
Araba/Álava;;33,91;32,44;24,47;28,09;28,14;27,14;23,33;21,96;22,28;35,21;35,65;21,41
Bizkaia;;28,92;25,86;20,06;22,69;22,16;21,47;18,68;17,99;19,39;32,07;27,68;15,28
CAE;;31,38;28,92;22,36;25,33;25,03;23,96;20,51;19,58;20,32;32,99;30,61;17,55
Gipuzkoa;;33,90;31,89;24,83;28,02;27,90;26,23;22,00;20,92;20,92;33,49;33,32;19,70
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2016;2015;2011;2006;2001;1996
01100;Arabako Ibarrak / Valles Alaveses;31,03;32,41;29,02;24,43;24,07;23,99;24,34;19,02;19,94;32,47;38,11;25,69
01200;Arabako Lautada / Llanada Alavesa;34,53;32,56;24,65;28,81;28,73;27,62;23,80;22,66;22,65;35,75;36,36;21,49
01300;Arabako Mendialdea / Montaña Alavesa;29,82;36,41;28,93;34,50;35,15;37,34;32,94;25,44;30,00;37,97;44,35;35,65
48100;Arratia Nerbioi / Arratia-Nervión;30,06;26,84;20,14;22,93;23,21;20,50;18,32;17,84;21,46;31,91;31,63;20,24
20200;Bidasoa Beherea / Bajo Bidasoa;33,63;32,14;24,11;26,90;26,83;25,85;21,40;20,41;20,68;34,74;31,77;18,61
48200;Bilbo Handia / Gran Bilbao;29,01;25,91;20,07;22,79;21,95;21,19;18,50;17,87;19,60;32,17;27,02;14,18
20100;Deba Beherea / Bajo Deba;29,95;27,67;22,59;26,24;26,49;25,12;21,70;20,30;19,39;29,84;32,90;21,17
20300;Debagoiena / Alto Deba;32,25;31,84;25,67;29,41;28,92;27,78;23,15;20,38;19,51;33,96;33,43;19,92
20400;Donostialdea / Donostia-San Sebastián;34,75;32,31;24,19;27,73;27,22;25,72;21,29;20,75;20,47;32,92;31,97;17,31
48300;Durangaldea / Duranguesado;30,53;27,70;22,03;24,44;25,70;25,55;22,65;20,24;19,54;32,83;32,16;20,99
48400;Enkartazioak / Encartaciones;28,69;25,26;20,75;22,99;23,51;23,85;19,58;19,90;20,49;34,61;31,38;18,38
01400;Errioxa Arabarra / Rioja Alavesa;34,10;34,65;22,28;21,09;23,54;20,95;17,31;17,49;24,00;36,01;41,30;30,95
48500;Gernika-Bermeo;25,75;23,53;18,26;20,29;20,03;19,54;17,03;16,24;18,01;30,06;26,01;16,36
20500;Goierri;31,71;30,50;25,59;28,12;28,47;26,13;20,85;21,26;21,82;34,68;34,38;20,50
01500;Gorbeia Inguruak / Estribaciones del Gorbea;33,41;37,61;25,61;28,35;28,28;30,19;23,18;22,37;18,61;29,64;29,05;25,80
01600;Kantauri Arabarra / Cantábrica Alavesa;29,62;28,52;22,25;24,74;25,06;24,45;20,89;18,16;19,50;32,19;29,54;17,09
48600;Markina-Ondarroa;26,49;23,63;18,81;20,94;20,52;21,43;18,33;19,08;17,61;29,57;34,39;24,96
48700;Plentzia-Mungia;28,06;24,59;18,17;20,61;20,34;19,41;15,71;15,84;16,23;30,48;24,70;15,33
20600;Tolosaldea / Tolosa;35,55;32,97;27,00;29,52;30,88;28,37;25,84;23,95;24,41;35,80;36,79;24,71
20700;Urola-Kostaldea / Urola Costa;35,33;33,14;26,83;29,30;29,47;26,89;23,30;20,75;22,06;34,21;37,86;27,14
"";;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2016;2015;2011;2006;2001;1996
48001;Abadiño;29,52;26,54;23,68;27,11;28,60;27,89;26,20;23,30;19,89;31,50;34,24;23,59
20001;Abaltzisketa;50,00;52,38;47,50;57,89;41,18;45,95;30,30;25,00;33,33;33,33;42,86;33,33
48002;Abanto y Ciérvana-Abanto Zierbena;32,34;26,18;18,76;22,72;23,88;21,66;18,30;18,76;23,16;34,99;34,46;17,28
