Indicadores municipales de sostenibilidad: Tasa de ocupación: brecha de género (p.p.);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2016;2015;2011;2006;2001;1996
Araba/Álava;;7,26;7,15;6,97;7,42;8,37;8,57;8,45;7,19;9,61;17,39;23,45;28,57
Bizkaia;;7,15;7,36;7,29;7,70;8,51;8,76;9,04;7,93;10,78;18,47;23,82;26,66
CAE;;7,11;7,24;7,22;7,76;8,57;8,75;9,04;7,90;10,60;18,25;23,82;27,42
Gipuzkoa;;6,94;7,02;7,16;7,93;8,66;8,73;9,24;8,06;10,65;18,17;23,85;28,13
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2016;2015;2011;2006;2001;1996
01100;Arabako Ibarrak / Valles Alaveses;6,79;5,55;8,31;7,06;11,86;12,51;11,43;9,41;11,39;20,21;24,13;24,76
01200;Arabako Lautada / Llanada Alavesa;7,06;6,86;6,64;7,04;7,81;8,12;7,82;6,51;9,06;16,71;22,53;27,83
01300;Arabako Mendialdea / Montaña Alavesa;7,14;5,73;5,43;6,82;7,38;6,00;9,18;8,84;12,06;20,19;22,74;26,28
48100;Arratia Nerbioi / Arratia-Nervión;6,60;6,61;6,27;6,66;7,80;8,60;9,37;7,75;10,84;20,04;28,28;31,59
20200;Bidasoa Beherea / Bajo Bidasoa;7,31;7,28;7,04;7,69;9,03;9,15;9,19;8,38;11,42;18,04;25,37;29,60
48200;Bilbo Handia / Gran Bilbao;7,46;7,63;7,55;7,87;8,62;8,80;8,92;7,82;10,76;18,43;23,32;25,41
20100;Deba Beherea / Bajo Deba;8,60;8,93;8,76;9,75;10,28;10,50;11,00;10,11;12,42;20,60;27,41;30,38
20300;Debagoiena / Alto Deba;7,12;6,61;6,87;7,99;8,26;8,51;8,52;6,83;8,63;16,02;22,85;29,14
20400;Donostialdea / Donostia-San Sebastián;6,18;6,32;6,67;7,15;7,62;7,49;7,97;7,02;9,60;16,74;20,94;24,61
48300;Durangaldea / Duranguesado;7,70;8,21;7,88;8,33;9,43;10,13;11,39;10,11;12,09;20,34;28,34;35,27
48400;Enkartazioak / Encartaciones;7,38;8,52;8,68;9,17;10,10;10,48;10,95;9,34;12,79;20,82;28,53;30,52
01400;Errioxa Arabarra / Rioja Alavesa;11,20;12,13;11,30;12,15;14,24;12,25;12,24;11,37;12,76;22,07;29,95;33,99
48500;Gernika-Bermeo;4,65;4,42;4,98;5,42;6,14;5,64;6,06;5,34;8,21;15,95;20,39;26,93
20500;Goierri;9,23;9,43;9,43;10,58;12,07;12,52;13,32;11,74;14,04;22,57;29,40;33,49
01500;Gorbeia Inguruak / Estribaciones del Gorbea;4,73;4,56;4,13;6,27;7,15;7,51;7,27;6,21;8,17;17,06;20,40;26,45
01600;Kantauri Arabarra / Cantábrica Alavesa;8,14;8,80;8,68;9,36;10,56;10,70;11,64;10,58;12,57;20,55;28,77;33,11
48600;Markina-Ondarroa;4,05;4,07;4,22;5,20;5,64;6,59;7,05;6,44;8,83;16,21;21,92;27,02
48700;Plentzia-Mungia;4,39;4,69;4,50;5,88;6,94;7,47;7,81;7,00;9,75;16,02;22,44;28,11
20600;Tolosaldea / Tolosa;6,52;6,25;6,95;7,64;8,93;8,72;9,64;8,43;10,78;18,89;25,00;30,47
20700;Urola-Kostaldea / Urola Costa;6,71;6,97;6,43;7,85;8,64;9,08;10,18;8,28;11,68;20,28;27,95;33,64
"";;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2016;2015;2011;2006;2001;1996
48001;Abadiño;6,15;6,20;5,95;6,97;9,55;10,76;13,00;10,63;12,84;21,77;31,94;39,98
20001;Abaltzisketa;3,86;4,97;8,59;6,27;6,91;16,25;13,78;5,89;17,55;16,97;17,15;25,49
48002;Abanto y Ciérvana-Abanto Zierbena;8,11;8,10;6,60;7,91;10,32;10,17;11,05;9,26;11,40;21,20;29,22;29,74
20002;Aduna;-0,23;2,76;4,70;4,87;6,60;5,76;8,64;11,45;12,81;20,84;21,08;28,27
20016;Aia;2,12;3,46;3,75;2,96;2,63;5,39;5,83;6,86;8,80;17,62;19,81;43,57
20003;Aizarnazabal;2,87;3,99;6,79;5,71;8,06;4,87;12,83;7,49;6,81;14,76;27,07;38,61
48911;Ajangiz;4,47;6,18;3,58;0,69;-1,25;-5,94;2,59;6,39;2,52;18,31;12,37;27,46
20004;Albiztur;9,38;7,47;8,67;7,38;8,63;8,02;7,06;-3,93;6,25;15,45;18,69;11,42
20005;Alegia;8,63;7,19;6,73;6,02;6,44;6,04;8,38;6,33;13,99;18,75;23,76;29,03
01001;Alegría-Dulantzi;9,04;8,28;7,70;7,48;6,80;10,24;9,21;7,27;10,95;21,06;26,03;24,28
20006;Alkiza;8,86;4,18;7,49;2,28;3,82;3,04;6,25;3,93;4,71;11,82;23,88;23,14
48912;Alonsotegi;5,25;8,46;7,47;9,61;9,77;11,57;9,95;8,22;12,88;22,74;27,62;28,89
20906;Altzaga;-5,14;0,32;1,72;10,23;11,53;13,04;6,37;8,58;6,68;12,56;17,35;23,86
20007;Altzo;2,24;4,31;8,25;2,15;8,92;5,21;4,36;9,07;10,23;20,91;25,19;29,85
20008;Amezketa;7,54;4,98;6,48;6,18;12,95;13,99;14,44;16,00;12,67;25,90;28,87;37,32
48003;Amorebieta-Etxano;7,84;7,80;8,18;7,92;8,51;8,92;9,98;8,61;11,61;20,20;27,30;33,46
48004;Amoroto;4,54;4,76;9,50;12,29;11,64;15,02;13,31;11,12;6,57;18,08;14,94;19,23
01002;Amurrio;7,57;9,12;8,06;7,99;9,42;9,76;10,63;9,99;10,86;20,98;30,49;36,59
20009;Andoain;8,35;7,82;9,30;9,51;10,26;10,48;10,88;9,55;11,97;20,99;29,52;32,91
20010;Anoeta;6,89;6,20;7,53;7,37;11,01;9,68;15,13;14,78;13,73;22,53;25,38;34,51
20011;Antzuola;5,15;8,70;7,94;8,25;9,18;11,68;12,96;8,42;12,99;16,77;30,78;39,44
48005;Arakaldo;8,18;1,57;6,57;11,92;9,29;10,94;18,97;15,78;20,00;30,00;15,48;25,90
20012;Arama;-10,88;0,81;-0,17;2,47;6,81;11,48;8,84;3,49;13,13;34,71;24,83;27,84
01003;Aramaio;1,17;0,43;-0,11;5,15;1,91;1,38;3,90;3,91;5,31;12,41;13,84;23,66
48006;Arantzazu;6,61;3,55;4,50;10,94;4,93;10,65;10,92;8,17;13,25;17,43;29,74;26,87
48093;Areatza;9,67;6,21;8,92;10,70;10,21;9,55;9,99;6,91;13,36;27,43;30,49;32,18
20013;Aretxabaleta;7,32;7,79;6,93;8,84;7,88;8,96;6,66;4,50;6,60;15,92;18,99;26,20
01006;Armiñón;7,19;2,89;9,98;17,81;12,39;8,77;6,88;13,58;11,99;21,38;15,30;15,35
01037;Arraia-Maeztu;3,82;3,15;1,27;2,55;3,04;4,83;7,21;8,36;7,64;19,69;23,27;24,48
48009;Arrankudiaga;6,28;5,31;4,44;-0,11;5,86;3,63;6,84;9,74;13,91;24,57;32,15;29,43
20055;Arrasate/Mondragón;8,05;6,85;7,04;8,70;8,96;8,83;8,44;6,48;7,71;14,65;21,97;28,38
48914;Arratzu;-1,00;-1,52;-0,35;1,59;3,23;4,60;10,79;5,22;13,12;17,42;20,26;29,00
01008;Arratzua-Ubarrundia;2,09;6,13;6,69;2,22;6,86;6,78;6,80;10,19;14,43;14,07;18,51;23,66
48010;Arrieta;6,62;1,55;3,34;2,10;5,29;5,99;10,43;10,45;6,41;16,93;13,42;15,48
48011;Arrigorriaga;7,12;6,15;7,75;8,21;9,90;10,23;10,01;9,52;13,48;22,36;25,37;29,18
