Indicadores municipales de sostenibilidad: Tasa media de crecimiento acumulativo anual de la renta personal en el último periodo (%). Hombres;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006
Araba/Álava;;-0,03;-0,03;0,35;3,24;2,63;1,74;1,29;0,99;-1,62;-2,36;1,20;2,89;5,95
Bizkaia;;1,38;1,38;1,00;2,01;2,79;2,52;1,57;1,00;-0,88;-1,19;-0,47;2,48;7,67
CAE;;0,95;0,95;0,91;2,44;2,78;2,68;2,18;1,41;-1,12;-1,68;-0,23;3,00;7,21
Gipuzkoa;;0,72;0,72;1,01;2,75;2,82;3,34;3,53;2,24;-1,29;-2,18;-0,50;3,91;7,03
"";;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006
01100;Arabako Ibarrak / Valles Alaveses;4,71;4,71;2,11;0,75;1,56;1,86;1,92;0,89;-2,38;-2,65;1,54;2,87;7,95
01200;Arabako Lautada / Llanada Alavesa;0,32;0,32;0,50;2,92;2,61;1,81;1,40;0,88;-1,86;-2,60;1,17;2,64;5,90
01300;Arabako Mendialdea / Montaña Alavesa;-8,47;-8,47;0,23;20,52;3,97;0,04;1,33;2,56;-1,11;-1,96;0,67;7,13;6,07
48100;Arratia Nerbioi / Arratia-Nervión;0,09;0,09;0,54;1,67;0,70;1,70;1,01;1,87;0,93;-0,28;-0,46;2,73;6,74
20200;Bidasoa Beherea / Bajo Bidasoa;2,46;2,46;1,87;3,11;3,14;2,19;3,01;1,86;-2,62;-3,47;0,18;2,65;8,20
48200;Bilbo Handia / Gran Bilbao;1,39;1,39;1,14;1,90;2,79;2,48;1,42;0,94;-1,09;-1,44;-0,68;2,27;7,91
20100;Deba Beherea / Bajo Deba;0,64;0,64;-0,09;0,83;0,31;5,64;7,75;2,54;-0,60;-1,70;-0,46;3,90;6,84
20300;Debagoiena / Alto Deba;-0,52;-0,52;-0,27;2,23;4,20;4,59;4,29;2,74;-1,69;-2,11;-1,53;3,59;5,68
20400;Donostialdea / Donostia-San Sebastián;0,76;0,76;1,33;3,04;2,73;3,24;3,07;2,09;-1,35;-2,34;-0,67;3,74;7,72
48300;Durangaldea / Duranguesado;1,18;1,18;0,80;1,94;2,32;2,59;2,34;1,50;0,05;-0,42;-0,05;3,82;6,03
48400;Enkartazioak / Encartaciones;1,53;1,53;1,69;2,83;2,86;2,72;1,92;0,63;-1,03;-1,09;-0,67;2,44;7,83
01400;Errioxa Arabarra / Rioja Alavesa;-2,86;-2,86;-3,09;2,57;2,36;2,21;4,62;5,77;-0,10;-2,08;-0,97;1,75;6,68
48500;Gernika-Bermeo;1,16;1,16;-0,43;1,86;3,51;2,55;2,02;0,72;-0,09;0,33;0,90;3,05;7,56
20500;Goierri;0,69;0,69;0,11;1,95;2,46;2,43;3,63;2,49;-0,59;-1,14;1,17;4,14;6,21
01500;Gorbeia Inguruak / Estribaciones del Gorbea;-0,94;-0,94;0,33;4,74;2,64;1,09;0,32;0,71;-1,61;-2,38;2,53;3,98;5,40
01600;Kantauri Arabarra / Cantábrica Alavesa;-1,33;-1,33;-0,03;4,07;2,85;1,51;-0,24;0,36;-0,24;-0,75;1,56;4,26;5,96
48600;Markina-Ondarroa;6,30;6,30;-0,94;1,02;3,94;3,88;2,77;1,99;0,54;0,34;1,21;3,35;5,70
48700;Plentzia-Mungia;-0,05;-0,05;0,93;3,72;3,21;2,39;1,44;0,61;-1,23;-1,00;0,38;2,58;7,85
20600;Tolosaldea / Tolosa;0,84;0,84;1,65;1,92;2,81;3,11;1,99;1,26;-1,36;-2,11;1,01;4,56;5,93
20700;Urola-Kostaldea / Urola Costa;0,14;0,14;1,37;4,40;3,98;3,06;3,07;2,97;-0,66;-1,77;-2,16;5,50;5,76
"";;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006
48001;Abadiño;-1,66;-1,66;-0,22;1,27;0,86;2,51;3,20;3,89;0,48;-1,45;1,55;2,90;4,20
20001;Abaltzisketa;-2,14;-2,14;10,17;-12,87;10,20;28,76;-3,59;-5,03;-4,37;-5,77;9,19;7,01;6,52
48002;Abanto y Ciérvana-Abanto Zierbena;1,15;1,15;0,69;3,04;2,69;2,12;1,84;1,13;-0,61;-1,09;-1,44;1,62;8,08
20002;Aduna;-3,08;-3,08;-2,71;4,32;6,24;3,85;1,42;5,74;0,87;-2,18;-0,44;4,57;9,14
20016;Aia;2,53;2,53;3,46;1,65;1,07;3,43;3,46;1,09;0,36;0,60;-0,36;8,41;5,42
20003;Aizarnazabal;-1,38;-1,38;1,79;5,48;3,57;3,01;6,02;7,35;-1,25;-3,73;-1,22;8,46;0,69
48911;Ajangiz;-2,79;-2,79;-2,87;2,46;2,40;0,69;2,18;0,49;0,31;1,97;1,40;6,05;8,23
20004;Albiztur;-3,06;-3,06;2,28;3,18;2,03;9,60;2,92;1,35;0,91;-0,22;-1,58;7,02;8,97
20005;Alegia;3,57;3,57;1,32;-1,76;4,15;4,27;2,57;2,49;-1,45;-2,07;1,59;3,02;6,80
01001;Alegría-Dulantzi;1,46;1,46;-0,19;0,03;0,12;0,29;0,60;2,23;-1,41;-3,69;0,63;2,27;6,31
20006;Alkiza;-1,96;-1,96;2,56;6,18;2,97;-0,43;4,10;7,32;1,92;0,87;-0,45;3,63;6,79
48912;Alonsotegi;0,68;0,68;2,49;3,59;1,02;2,13;0,74;0,93;-1,45;-3,46;0,13;2,39;6,97
20906;Altzaga;2,02;2,02;1,66;-0,22;2,72;4,75;2,28;1,35;-0,82;-1,77;3,00;5,90;3,04
20007;Altzo;-1,32;-1,32;4,17;4,22;3,89;6,33;2,80;1,62;-1,54;-3,18;0,14;7,41;-0,23
20008;Amezketa;0,55;0,55;1,05;4,93;4,56;5,40;3,63;2,13;-0,03;-0,36;4,96;3,59;1,33
48003;Amorebieta-Etxano;1,43;1,43;0,62;1,58;3,10;3,11;1,04;1,06;0,04;-0,62;-0,29;2,74;6,12
48004;Amoroto;0,51;0,51;-1,73;4,19;4,65;3,65;1,56;2,13;1,14;0,44;0,79;5,46;6,08
01002;Amurrio;-0,58;-0,58;-0,12;3,56;3,08;0,69;-1,86;0,85;0,50;-0,56;2,71;2,72;6,51
20009;Andoain;0,77;0,77;2,37;2,48;1,53;2,10;2,96;1,61;-0,75;-0,91;-0,78;4,09;6,50
20010;Anoeta;1,11;1,11;1,98;3,26;2,65;3,46;1,97;-0,50;-1,45;-1,55;0,49;5,19;5,35
20011;Antzuola;-0,63;-0,63;-1,83;1,20;3,72;5,78;4,98;3,82;-0,12;-0,75;0,42;5,04;4,78
