Indicadores municipales de sostenibilidad: Tasa media de crecimiento acumulativo anual de la renta personal total en el último periodo (%);;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
Araba/Álava;;4,86;0,86;1,27;3,81;2,70;1,56;1,39;1,10;-1,34;-1,98;1,24;4,57;6,75;3,21;7,22
Bizkaia;;5,84;2,22;2,29;3,11;2,66;2,68;1,91;1,40;-0,18;-0,50;-0,14;3,54;9,02;4,19;5,90
CAE;;5,91;1,68;2,04;3,42;2,83;2,75;2,34;1,67;-0,57;-1,09;0,21;4,18;8,36;3,76;6,41
Gipuzkoa;;6,44;1,22;1,99;3,71;3,12;3,37;3,40;2,33;-0,85;-1,64;0,31;5,04;7,98;3,29;6,87
"";;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
01100;Arabako Ibarrak / Valles Alaveses;5,86;5,08;1,89;2,02;2,05;1,59;2,33;0,62;-2,24;-2,20;1,05;4,02;8,13;6,35;5,71
01200;Arabako Lautada / Llanada Alavesa;4,87;1,11;1,35;3,44;2,69;1,60;1,43;1,00;-1,54;-2,18;1,24;4,47;6,60;2,92;7,15
01300;Arabako Mendialdea / Montaña Alavesa;3,62;-8,73;1,45;23,98;4,37;1,64;1,47;1,58;-0,55;-0,91;0,65;8,27;6,48;5,53;7,75
48100;Arratia Nerbioi / Arratia-Nervión;5,48;1,27;2,02;2,74;1,44;2,39;1,53;1,70;1,16;0,46;0,01;3,79;8,26;4,45;6,04
20200;Bidasoa Beherea / Bajo Bidasoa;9,80;2,46;2,83;4,10;3,36;2,36;2,84;2,09;-1,84;-2,69;0,71;3,80;9,27;4,58;6,06
48200;Bilbo Handia / Gran Bilbao;5,98;2,24;2,34;2,96;2,62;2,65;1,78;1,34;-0,30;-0,65;-0,30;3,31;9,30;4,09;5,82
20100;Deba Beherea / Bajo Deba;4,22;1,54;1,34;1,58;1,77;5,44;6,15;2,27;-0,54;-1,32;0,43;4,93;7,79;3,14;7,33
20300;Debagoiena / Alto Deba;5,36;0,31;1,02;3,12;4,06;4,47;4,49;2,54;-1,44;-1,65;-0,34;4,93;6,39;2,59;6,75
20400;Donostialdea / Donostia-San Sebastián;6,90;1,00;2,04;4,10;3,06;3,19;2,95;2,30;-0,72;-1,64;0,08;4,82;8,69;2,87;6,87
48300;Durangaldea / Duranguesado;4,51;1,25;2,45;3,71;2,57;2,83;2,65;1,80;0,25;-0,20;-0,15;5,30;7,09;4,16;6,45
48400;Enkartazioak / Encartaciones;5,48;2,54;3,16;3,95;2,87;2,55;2,17;1,23;-0,33;-0,34;-0,40;3,51;9,31;3,59;6,83
01400;Errioxa Arabarra / Rioja Alavesa;2,82;-1,55;-1,75;3,26;2,31;2,35;4,52;4,79;0,02;-1,44;-0,23;1,55;9,34;3,81;4,20
48500;Gernika-Bermeo;5,89;1,67;1,02;2,96;2,75;2,59;2,50;1,06;0,69;1,02;0,96;4,12;8,50;4,75;5,60
20500;Goierri;4,37;1,52;1,48;2,91;2,42;2,65;3,79;2,42;-0,43;-0,90;1,48;5,65;7,16;4,09;7,11
01500;Gorbeia Inguruak / Estribaciones del Gorbea;5,52;-0,41;1,30;4,97;2,01;0,92;0,81;1,26;-1,36;-2,18;2,24;5,36;6,12;4,79;9,84
01600;Kantauri Arabarra / Cantábrica Alavesa;5,06;0,25;1,34;4,78;2,97;1,19;0,23;0,83;-0,18;-0,57;1,41;5,71;7,18;4,06;8,04
48600;Markina-Ondarroa;6,03;7,86;0,84;2,23;3,77;4,00;2,98;2,46;0,60;0,08;1,68;4,52;6,87;4,42;5,63
48700;Plentzia-Mungia;6,02;1,50;2,31;4,31;3,08;2,48;1,61;1,21;-0,63;-0,81;0,64;3,37;8,96;5,45;5,94
20600;Tolosaldea / Tolosa;6,36;2,14;2,48;2,43;3,14;3,33;2,27;1,44;-0,99;-1,65;1,59;5,68;6,94;4,26;6,85
20700;Urola-Kostaldea / Urola Costa;5,59;0,84;2,50;5,21;4,00;3,32;3,41;3,07;-0,53;-1,52;-0,48;6,62;6,46;3,69;7,37
"";;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
48001;Abadiño;1,37;0,50;4,29;2,60;1,33;2,58;3,04;3,17;0,43;-0,88;0,86;3,53;6,42;7,61;6,60
20001;Abaltzisketa;-10,87;0,06;14,54;-14,19;9,16;31,59;-2,76;-4,44;-3,10;-4,43;7,84;5,84;6,71;5,49;9,67
48002;Abanto y Ciérvana-Abanto Zierbena;5,60;1,85;2,41;4,51;3,01;2,28;2,33;1,75;-0,37;-1,03;-0,57;3,12;9,08;5,68;6,95
20002;Aduna;5,75;-3,00;-0,42;1,91;6,67;7,37;2,49;4,78;-0,07;-2,37;0,72;4,17;11,07;13,62;6,95
20016;Aia;5,85;3,69;4,27;2,38;1,70;3,90;4,39;1,61;-0,03;0,18;0,97;9,09;6,07;6,71;4,40
20003;Aizarnazabal;5,79;-0,34;2,22;4,45;2,15;3,54;6,66;6,72;-1,38;-4,11;-3,47;11,83;1,88;7,71;6,36
48911;Ajangiz;8,72;-1,86;-2,35;1,51;2,95;3,74;2,75;1,83;0,12;0,33;4,28;5,96;9,23;2,97;5,21
20004;Albiztur;5,45;-2,43;1,02;3,68;2,16;7,48;1,57;-0,29;0,76;-0,38;0,71;6,89;8,97;3,41;6,78
20005;Alegia;2,98;3,08;2,63;0,64;3,57;3,72;3,02;1,90;-1,11;-0,94;2,21;4,48;6,57;4,99;7,28
01001;Alegría-Dulantzi;3,34;0,48;0,97;2,40;0,49;1,22;1,51;1,99;-1,20;-2,98;0,33;3,56;6,80;6,67;11,73
