Indicadores municipales de sostenibilidad: Unidades convivenciales perceptoras de Ayudas de Emergencia Social (? habitantes);;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;12,00;12,64;13,89;13,84;12,78;12,87;12,93;13,28;12,70;11,91;10,26;8,39;6,15;6,50;21,53;14,94;0,00;0,00;0,00;0,00;0,00
Bizkaia;;14,27;14,16;14,46;14,82;14,76;15,32;15,52;14,65;16,57;15,69;10,08;12,02;9,97;12,17;16,12;13,65;0,00;0,00;0,00;0,00;0,00
CAE;;13,05;13,01;13,46;13,85;13,10;13,38;13,59;13,31;13,72;13,28;9,77;9,91;8,36;10,06;15,11;12,30;0,00;0,00;0,00;0,00;0,00
Gipuzkoa;;11,61;11,36;11,67;12,31;10,59;10,54;10,81;11,19;9,61;10,00;9,06;7,15;6,74;8,22;10,56;8,88;0,00;0,00;0,00;0,00;0,00
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;3,00;3,48;3,65;3,22;2,77;4,11;3,30;6,35;5,21;3,00;2,16;3,16;2,00;2,19;4,82;2,46;0,00;0,00;0,00;0,00;0,00
01200;Arabako Lautada / Llanada Alavesa;12,95;13,86;15,33;15,38;14,15;14,34;14,72;15,01;15,05;14,40;12,34;9,47;6,78;6,68;24,69;16,79;0,00;0,00;0,00;0,00;0,00
01300;Arabako Mendialdea / Montaña Alavesa;4,66;3,72;4,67;4,84;4,97;3,99;2,66;4,34;5,34;3,29;3,21;3,76;3,12;3,44;3,12;3,77;0,00;0,00;0,00;0,00;0,00
48100;Arratia Nerbioi / Arratia-Nervión;12,35;12,19;12,35;12,42;11,14;11,35;10,43;10,00;7,80;7,16;6,73;6,70;6,61;6,12;11,73;6,94;0,00;0,00;0,00;0,00;0,00
20200;Bidasoa Beherea / Bajo Bidasoa;7,75;8,51;9,23;10,42;8,70;7,73;7,99;8,65;6,02;6,05;6,48;4,71;4,38;1,00;1,67;9,69;0,00;0,00;0,00;0,00;0,00
48200;Bilbo Handia / Gran Bilbao;15,46;15,58;16,04;16,07;16,27;16,96;17,37;16,37;19,40;18,26;11,07;13,82;11,19;13,89;17,41;15,17;0,00;0,00;0,00;0,00;0,00
20100;Deba Beherea / Bajo Deba;14,96;13,33;13,78;12,73;13,09;13,25;13,11;12,94;12,02;10,08;10,51;6,79;6,71;7,47;11,21;7,11;0,00;0,00;0,00;0,00;0,00
20300;Debagoiena / Alto Deba;8,22;7,94;7,24;8,54;6,99;7,16;7,64;7,55;7,47;7,02;7,57;7,36;7,49;9,06;10,35;4,43;0,00;0,00;0,00;0,00;0,00
20400;Donostialdea / Donostia-San Sebastián;13,74;13,56;14,10;14,84;12,79;12,60;12,78;13,33;11,36;12,49;11,01;8,44;7,79;10,52;14,00;11,58;0,00;0,00;0,00;0,00;0,00
48300;Durangaldea / Duranguesado;12,15;10,04;9,10;10,55;10,26;10,11;9,93;8,51;4,46;4,31;4,59;4,38;4,77;5,66;9,85;8,25;0,00;0,00;0,00;0,00;0,00
48400;Enkartazioak / Encartaciones;18,28;18,00;18,58;20,33;19,86;21,25;19,02;18,91;17,82;16,89;14,19;12,19;10,99;11,33;16,93;12,47;0,00;0,00;0,00;0,00;0,00
01400;Errioxa Arabarra / Rioja Alavesa;7,14;7,58;7,51;6,86;7,16;6,50;7,21;7,31;7,62;5,26;5,10;3,96;3,09;5,94;9,09;6,08;0,00;0,00;0,00;0,00;0,00
48500;Gernika-Bermeo;5,38;5,93;6,70;7,88;9,30;8,96;9,13;8,89;9,19;9,00;8,00;8,05;7,42;8,40;16,43;11,80;0,00;0,00;0,00;0,00;0,00
20500;Goierri;9,39;8,90;8,96;9,71;8,08;8,41;9,43;10,31;8,48;8,72;7,64;5,99;5,91;7,76;8,76;6,06;0,00;0,00;0,00;0,00;0,00
01500;Gorbeia Inguruak / Estribaciones del Gorbea;7,68;6,44;6,91;6,47;6,23;6,25;4,22;4,91;5,92;2,74;3,07;3,95;4,09;5,55;7,67;5,05;0,00;0,00;0,00;0,00;0,00
01600;Kantauri Arabarra / Cantábrica Alavesa;9,76;9,14;9,54;8,99;8,32;7,81;6,19;6,45;0,49;0,32;0,52;4,39;4,02;6,61;10,45;9,92;0,00;0,00;0,00;0,00;0,00
48600;Markina-Ondarroa;13,66;12,37;12,89;13,13;9,38;9,10;7,65;7,09;8,67;8,78;7,26;6,02;4,85;6,48;8,20;6,35;0,00;0,00;0,00;0,00;0,00
48700;Plentzia-Mungia;6,53;6,62;6,01;7,81;5,38;5,98;6,16;6,78;7,16;7,66;6,33;5,52;5,06;5,07;11,47;7,06;0,00;0,00;0,00;0,00;0,00
20600;Tolosaldea / Tolosa;9,90;9,90;9,56;9,99;8,46;9,45;9,95;9,57;10,25;9,51;7,81;7,43;6,75;7,51;10,54;6,85;0,00;0,00;0,00;0,00;0,00
20700;Urola-Kostaldea / Urola Costa;9,84;9,24;9,59;9,99;7,84;7,95;7,93;8,17;6,39;7,13;5,52;5,00;4,77;6,35;5,99;5,03;0,00;0,00;0,00;0,00;0,00
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
48001;Abadiño;12,37;8,28;8,60;8,71;8,54;7,96;7,47;5,93;0,13;0,66;4,26;4,55;4,73;5,84;8,86;5,91;5,97;3,37;3,41;3,45;3,47
20001;Abaltzisketa;3,15;0,00;3,27;3,22;3,12;3,12;9,46;12,62;12,62;3,13;3,12;3,13;3,16;3,18;0,00;0,00;0,00;0,00;5,07;0,00;0,00
48002;Abanto y Ciérvana-Abanto Zierbena;20,16;20,96;19,85;20,95;14,96;15,32;15,55;15,87;16,45;15,73;13,05;13,71;12,41;13,26;19,02;13,96;14,00;14,57;12,52;10,01;10,07
20002;Aduna;2,00;0,00;2,08;0,00;2,07;2,08;4,16;4,23;4,30;8,58;4,35;6,67;4,47;0,00;4,85;2,60;2,72;4,12;4,19;4,31;4,37
20016;Aia;7,07;7,64;7,31;8,96;6,53;7,47;7,41;3,95;3,95;3,96;4,98;4,49;4,52;6,05;4,08;2,12;2,19;5,54;5,58;5,62;5,71
20003;Aizarnazabal;3,97;3,99;6,56;6,49;3,92;6,54;7,81;14,44;17,22;11,92;5,32;5,38;2,76;2,87;7,51;3,12;3,17;2,41;2,40;2,38;2,40
48911;Ajangiz;0,00;0,00;0,00;0,00;0,00;2,19;2,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,46;3,49;3,51;3,52
20004;Albiztur;12,90;13,07;6,62;6,71;6,78;3,34;0,00;6,51;0,00;3,30;3,29;3,36;3,42;3,45;3,38;0,00;0,00;0,00;0,00;0,00;0,00
20005;Alegia;18,50;19,39;19,94;22,14;21,41;21,68;19,37;18,20;18,11;13,50;;8,37;5,60;13,09;17,40;9,98;10,13;12,05;6,72;9,36;8,32
01001;Alegría-Dulantzi;10,08;13,56;13,05;13,42;15,44;13,32;8,82;12,60;10,00;9,23;8,60;7,67;5,40;8,37;12,31;8,02;7,47;5,34;5,54;5,74;6,20
20006;Alkiza;5,68;2,86;8,67;14,33;5,75;20,00;8,52;5,75;2,87;5,63;8,24;2,76;2,86;2,93;8,67;5,75;6,04;4,72;4,79;4,93;5,14
48912;Alonsotegi;20,01;18,58;23,03;22,19;21,50;25,62;26,40;24,24;26,55;22,71;26,29;17,51;15,82;14,12;23,57;13,71;13,79;17,14;17,26;14,42;14,35
20906;Altzaga;6,06;5,92;11,70;11,30;5,38;5,38;5,43;5,59;5,68;5,81;6,02;6,10;6,25;6,37;6,33;6,37;6,49;0,00;0,00;0,00;0,00
20007;Altzo;10,08;12,89;7,75;10,18;7,92;8,26;11,24;8,43;11,30;20,11;0,00;5,63;5,65;5,75;13,44;5,04;5,18;4,07;0,00;0,00;0,00
20008;Amezketa;10,86;15,12;12,92;16,23;16,41;16,39;11,93;11,94;8,68;10,68;10,50;6,28;4,19;5,18;4,09;1,03;1,05;0,00;0,00;0,00;0,00
48003;Amorebieta-Etxano;11,01;9,16;4,06;9,40;9,58;10,67;8,13;10,54;8,14;3,17;;;2,50;;;10,07;10,19;10,24;8,48;5,93;5,99
48004;Amoroto;2,60;2,58;0,00;2,43;2,43;0,00;0,00;0,00;0,00;0,00;0,00;2,52;2,49;2,47;2,47;0,00;0,00;0,00;0,00;0,00;0,00
01002;Amurrio;11,53;10,69;11,27;10,71;9,73;9,14;7,35;6,20;0,00;0,00;0,00;5,01;4,55;8,23;13,85;10,61;6,53;8,70;4,04;5,34;4,11
20009;Andoain;7,44;4,20;8,72;11,86;10,96;7,63;8,71;8,07;6,66;6,79;6,79;5,25;5,06;5,88;10,52;8,73;8,90;8,45;7,77;7,78;7,75
20010;Anoeta;9,44;7,58;6,17;7,73;14,26;15,43;15,16;11,08;13,15;11,42;14,34;8,64;6,56;8,72;14,19;8,31;8,47;5,13;5,14;4,57;5,14
20011;Antzuola;10,27;8,87;7,47;7,40;7,31;5,88;6,31;7,21;5,82;4,91;8,05;7,21;8,62;8,23;8,78;3,73;3,77;6,16;4,75;2,86;3,86
48005;Arakaldo;5,65;5,75;5,88;0,00;0,00;6,02;0,00;0,00;0,00;0,00;0,00;7,63;8,00;0,00;0,00;0,00;0,00;15,79;16,30;17,05;17,65
20012;Arama;0,00;5,08;14,85;4,88;0,00;0,00;0,00;0,00;4,72;0,00;4,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01003;Aramaio;5,59;4,81;4,05;4,03;4,02;2,64;2,63;2,63;2,60;1,30;2,60;1,95;2,62;6,57;5,89;3,29;3,27;3,28;0,00;0,00;0,00
48006;Arantzazu;9,64;7,21;9,55;7,44;10,44;5,36;10,78;10,64;2,62;2,60;7,92;5,43;2,80;2,97;12,78;3,30;3,31;5,00;5,05;5,12;5,14
48093;Areatza;10,37;14,59;11,23;13,67;13,90;12,31;12,37;10,01;10,97;9,24;10,66;8,96;7,53;6,94;17,73;13,50;13,81;18,87;14,41;1,46;12,75
20013;Aretxabaleta;6,40;5,61;5,77;8,73;7,05;7,96;7,17;8,17;6,59;6,16;3,02;5,08;5,16;8,66;6,29;4,82;4,87;5,23;4,38;3,69;4,56
01006;Armiñón;0,00;4,41;0,00;0,00;0,00;0,00;4,55;4,46;8,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,54;12,50;12,82
01037;Arraia-Maeztu;3,66;0,00;2,51;1,31;2,73;2,76;1,39;6,95;9,82;0,00;1,39;1,36;2,74;5,58;2,82;1,42;1,41;2,11;5,65;5,69;5,75
48009;Arrankudiaga;5,89;2,95;1,96;1,97;3,93;5,89;1,97;2,97;5,00;4,03;3,05;2,05;2,08;4,27;4,35;3,33;3,45;1,77;1,79;1,81;1,82
20055;Arrasate/Mondragón;9,08;9,88;8,54;10,86;9,20;10,23;11,64;9,42;10,08;9,12;12,14;9,83;10,37;11,65;12,68;2,98;2,98;3,00;2,96;2,93;2,90
48914;Arratzu;7,26;2,37;4,77;2,43;2,42;4,82;2,42;7,33;12,29;7,43;7,58;7,71;2,59;7,89;8,06;2,79;2,87;0,00;0,00;0,00;0,00
01008;Arratzua-Ubarrundia;1,85;1,86;2,81;0,95;1,93;1,93;1,94;4,87;3,86;0,96;0,97;0,98;5,04;8,42;7,50;1,08;3,34;1,70;1,74;1,79;1,91
48010;Arrieta;1,75;1,76;5,32;5,33;1,77;1,79;1,82;7,23;8,91;5,29;3,61;5,51;1,84;0,00;1,81;5,48;5,46;2,73;2,76;2,78;2,81
48011;Arrigorriaga;16,48;16,05;18,13;20,13;18,38;16,87;18,96;18,48;17,65;18,15;19,60;12,83;10,64;12,25;20,86;14,27;14,30;13,61;12,14;10,09;11,10
48023;Artea;14,45;11,87;10,65;13,61;9,70;5,55;2,78;2,75;1,34;0,00;0,00;0,00;1,30;3,95;2,69;2,74;2,87;2,24;2,26;2,26;2,29
