Indicadores municipales de sostenibilidad: Valor Añadido Bruto del sector agropesquero (%);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2021;2020;2019;2018;2017;2016;2015;2012;2010;2008;2005;2000
Araba/Álava;;1,55;1,36;1,52;1,78;1,67;1,70;1,70;1,20;1,20;1,30;1,80;3,50
Bizkaia;;0,75;0,76;0,83;0,78;0,91;0,60;0,60;0,90;0,70;0,60;0,70;1,00
CAE;;0,84;0,79;0,88;0,87;0,96;0,80;0,80;0,90;0,70;0,70;0,90;1,40
Gipuzkoa;;0,64;0,57;0,65;0,58;0,68;0,60;0,60;0,70;0,60;0,50;0,80;0,90
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2021;2020;2019;2018;2017;2016;2015;2012;2010;2008;2005;2000
01100;Arabako Ibarrak / Valles Alaveses;7,38;6,31;6,50;7,02;6,73;7,10;7,40;6,30;6,80;5,10;7,50;12,20
01200;Arabako Lautada / Llanada Alavesa;0,47;0,41;0,43;0,47;0,47;0,50;0,60;0,40;0,40;0,30;0,50;0,80
01300;Arabako Mendialdea / Montaña Alavesa;12,59;10,01;11,41;12,37;11,99;12,60;12,20;9,90;8,60;6,70;10,50;18,50
48100;Arratia Nerbioi / Arratia-Nervión;3,14;2,44;2,25;1,96;2,21;2,40;2,20;1,90;1,40;1,40;1,80;3,20
20200;Bidasoa Beherea / Bajo Bidasoa;1,16;0,98;1,30;1,29;1,34;1,00;1,10;1,20;0,90;0,80;0,90;1,20
48200;Bilbo Handia / Gran Bilbao;0,08;0,09;0,10;0,09;0,11;0,10;0,10;0,10;0,10;0,10;0,10;0,10
20100;Deba Beherea / Bajo Deba;0,65;0,57;0,59;0,47;0,59;0,50;0,40;0,40;0,40;0,40;0,60;0,70
20300;Debagoiena / Alto Deba;0,61;0,51;0,57;0,45;0,64;0,50;0,50;0,40;0,40;0,30;0,50;0,50
