Indicadores municipales de sostenibilidad: Valor Añadido Bruto del sector construcción (%);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2021;2020;2019;2018;2017;2016;2015;2012;2010;2008;2005;2000
Araba/Álava;;4,54;4,57;4,84;4,80;4,83;4,80;4,90;6,10;7,80;9,10;8,60;6,50
Bizkaia;;5,25;5,64;5,98;5,91;5,93;6,00;6,30;7,20;8,70;10,20;10,10;7,60
CAE;;5,23;5,57;5,86;5,84;5,75;5,80;6,00;6,80;8,40;9,70;9,30;7,00
Gipuzkoa;;5,53;5,93;6,16;6,24;5,91;5,90;6,00;6,50;8,20;9,20;8,60;6,40
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2021;2020;2019;2018;2017;2016;2015;2012;2010;2008;2005;2000
01100;Arabako Ibarrak / Valles Alaveses;3,34;2,72;3,04;3,43;3,94;3,80;4,20;2,90;3,40;4,30;4,40;5,30
01200;Arabako Lautada / Llanada Alavesa;4,86;4,74;4,97;4,90;4,92;5,10;5,30;6,90;9,00;10,60;9,70;7,00
01300;Arabako Mendialdea / Montaña Alavesa;4,06;3,93;6,27;5,87;6,83;4,60;4,40;5,20;6,70;6,40;8,80;7,40
48100;Arratia Nerbioi / Arratia-Nervión;3,55;3,50;3,90;3,70;3,97;3,90;4,20;7,00;15,90;10,80;10,60;7,10
20200;Bidasoa Beherea / Bajo Bidasoa;7,39;8,46;8,11;7,58;7,06;7,50;7,30;10,10;9,30;7,90;7,90;8,20
48200;Bilbo Handia / Gran Bilbao;5,33;5,73;6,15;6,12;6,16;6,20;6,60;6,90;7,80;9,00;9,70;7,50
20100;Deba Beherea / Bajo Deba;5,23;4,57;3,54;3,87;4,09;4,10;4,20;5,90;5,80;7,30;8,50;7,50
20300;Debagoiena / Alto Deba;4,58;4,73;3,96;3,20;3,07;3,10;2,60;3,70;6,40;9,00;6,80;4,50
20400;Donostialdea / Donostia-San Sebastián;5,29;5,82;6,56;7,08;6,55;6,40;6,60;6,20;8,50;8,90;8,90;5,90
48300;Durangaldea / Duranguesado;4,06;4,32;4,20;4,27;4,21;4,50;3,90;7,20;10,90;10,00;9,20;6,20
