Indicadores municipales de sostenibilidad: Valor Añadido Bruto del sector servicios (%);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2021;2020;2019;2018;2017;2016;2015;2012;2010;2008;2005;2000
Araba/Álava;;63,67;63,72;62,17;61,09;60,77;60,60;60,70;60,60;59,50;54,10;51,40;50,50
Bizkaia;;75,76;76,25;74,63;74,26;73,83;73,90;73,90;72,70;70,10;66,10;64,10;64,40
CAE;;70,58;70,80;69,38;69,16;69,12;69,00;69,00;67,80;65,80;61,40;59,60;59,60
Gipuzkoa;;65,93;65,92;64,93;65,35;65,99;65,60;65,50;64,00;62,30;57,90;56,90;56,90
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2021;2020;2019;2018;2017;2016;2015;2012;2010;2008;2005;2000
01100;Arabako Ibarrak / Valles Alaveses;31,12;30,77;31,31;29,61;31,42;31,90;32,70;38,20;38,70;35,90;33,20;36,50
01200;Arabako Lautada / Llanada Alavesa;69,21;69,45;68,08;67,65;66,79;66,30;66,10;66,40;64,70;60,20;57,40;56,80
01300;Arabako Mendialdea / Montaña Alavesa;63,57;63,96;62,19;59,32;62,48;61,70;61,60;61,70;52,30;54,80;55,90;52,60
48100;Arratia Nerbioi / Arratia-Nervión;55,57;51,29;50,57;50,73;50,62;49,60;53,90;49,10;41,00;38,50;37,60;34,60
20200;Bidasoa Beherea / Bajo Bidasoa;77,47;74,04;73,33;74,31;75,79;76,30;76,30;72,80;72,70;71,00;69,30;70,10
48200;Bilbo Handia / Gran Bilbao;80,13;81,15;79,64;79,11;78,85;78,80;78,40;77,70;75,70;72,50;70,10;70,50
20100;Deba Beherea / Bajo Deba;56,82;58,51;58,00;57,89;56,64;56,20;56,20;54,40;54,20;48,90;47,10;45,60
20300;Debagoiena / Alto Deba;46,71;48,84;45,86;47,10;47,09;47,60;48,10;46,60;43,70;37,00;35,20;33,20
20400;Donostialdea / Donostia-San Sebastián;79,03;78,54;77,53;77,50;78,03;77,50;77,50;77,00;74,80;72,70;70,70;70,50
48300;Durangaldea / Duranguesado;59,72;57,62;54,47;54,10;53,39;53,20;55,20;53,20;49,10;43,50;43,00;40,40
48400;Enkartazioak / Encartaciones;73,17;74,33;70,39;73,26;71,87;70,00;70,80;66,40;61,20;51,50;47,20;51,90
01400;Errioxa Arabarra / Rioja Alavesa;31,51;29,74;30,17;29,17;31,01;31,90;31,10;32,20;30,00;25,10;18,30;17,90
48500;Gernika-Bermeo;65,42;63,13;60,73;62,05;59,92;67,90;67,10;60,70;57,80;51,60;53,40;55,30
20500;Goierri;39,69;39,72;38,66;39,12;40,95;40,70;42,60;39,70;40,20;34,00;36,50;36,40
01500;Gorbeia Inguruak / Estribaciones del Gorbea;32,54;36,05;35,19;36,39;36,80;39,50;37,30;42,30;42,60;35,60;32,70;24,90
01600;Kantauri Arabarra / Cantábrica Alavesa;57,55;54,90;52,20;46,84;49,15;49,50;52,30;47,60;49,80;40,50;42,00;40,20
48600;Markina-Ondarroa;58,90;56,96;55,27;56,16;52,53;53,10;54,20;55,40;52,20;45,00;44,30;45,70
48700;Plentzia-Mungia;65,27;63,70;65,40;65,69;65,50;63,40;63,00;60,70;54,40;49,10;46,20;50,00
20600;Tolosaldea / Tolosa;50,36;50,65;49,61;50,50;49,61;48,70;49,10;49,40;48,40;42,30;45,20;45,20
20700;Urola-Kostaldea / Urola Costa;55,65;56,13;56,42;57,19;58,25;57,90;56,20;54,80;50,60;45,70;44,80;47,40
"";;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;
Código municipio;Municipio;2021;2020;2019;2018;2017;2016;2015;2012;2010;2008;2005;2000
48001;Abadiño;58,28;46,04;41,11;41,96;45,08;43,40;47,40;42,70;32,50;29,60;27,00;15,70
20001;Abaltzisketa;82,50;81,35;84,05;80,87;87,08;83,70;84,40;83,60;73,80;63,80;65,50;60,50
48002;Abanto y Ciérvana-Abanto Zierbena;52,01;51,13;50,35;52,09;49,16;50,90;50,70;55,10;55,60;51,20;46,00;44,60
20002;Aduna;42,47;53,49;34,32;34,32;38,22;40,20;41,00;35,90;42,10;39,00;33,50;28,80
20016;Aia;41,22;41,98;44,88;39,56;44,20;44,90;43,90;38,30;33,90;28,00;18,00;27,80
20003;Aizarnazabal;26,43;39,12;35,65;35,68;35,58;35,90;36,50;30,50;27,00;24,50;10,80;8,00
48911;Ajangiz;22,89;16,49;16,31;15,75;12,34;13,00;14,60;18,50;14,70;17,40;23,10;37,20
20004;Albiztur;30,68;32,29;33,62;29,40;28,77;31,00;31,50;23,40;23,30;20,60;17,00;17,90
20005;Alegia;37,67;46,97;48,38;48,47;49,47;49,90;45,90;41,90;49,40;47,60;40,40;45,20
01001;Alegría-Dulantzi;63,57;65,35;65,44;69,10;69,58;59,60;66,70;51,40;49,00;38,30;38,60;28,10
20006;Alkiza;76,56;73,55;73,73;80,00;76,50;78,40;78,80;66,10;63,60;58,50;40,80;45,90
48912;Alonsotegi;45,27;46,09;43,11;47,07;47,84;48,60;46,40;36,30;51,20;29,00;29,10;25,70
20906;Altzaga;72,14;71,79;70,22;70,14;75,17;68,00;73,00;74,00;78,80;72,20;63,10;52,60
20007;Altzo;28,16;30,20;28,52;31,39;39,07;29,60;26,10;26,20;25,80;24,20;15,70;16,80
20008;Amezketa;11,81;14,70;14,06;16,02;18,29;17,10;17,70;21,00;23,00;24,00;28,00;32,60
48003;Amorebieta-Etxano;68,02;64,64;62,50;61,95;58,99;60,80;62,50;60,10;54,00;46,80;47,70;45,30
48004;Amoroto;19,39;20,44;20,37;23,41;24,05;26,50;27,20;25,30;26,80;21,70;13,70;14,20
01002;Amurrio;47,31;44,67;39,84;35,00;35,52;35,90;36,90;32,90;34,50;27,00;31,90;25,80
20009;Andoain;55,89;51,19;49,51;49,98;49,20;47,10;49,20;50,20;49,20;50,30;39,90;43,90
20010;Anoeta;45,32;50,10;52,41;50,87;42,82;45,10;49,40;48,80;56,40;51,40;57,50;25,00
20011;Antzuola;19,51;21,44;22,23;21,74;19,47;19,80;21,00;22,30;25,40;22,00;17,60;15,60
48005;Arakaldo;61,16;58,00;61,80;61,12;56,23;66,60;75,10;39,30;32,80;28,20;26,80;23,70
20012;Arama;16,32;9,51;28,21;19,34;17,06;18,40;92,50;93,20;91,20;90,60;78,90;45,30
01003;Aramaio;48,59;50,84;54,02;52,10;51,82;53,50;54,30;61,40;56,20;46,60;48,10;51,80
48006;Arantzazu;52,99;57,40;59,31;60,69;62,50;57,40;57,50;55,20;62,10;33,10;27,20;26,50
48093;Areatza;83,82;84,21;84,69;82,75;83,08;78,20;76,70;82,90;69,20;29,10;46,90;37,40
20013;Aretxabaleta;37,20;37,85;37,71;38,77;37,14;36,10;35,80;38,30;35,80;25,30;26,40;26,10
01006;Armiñón;22,47;25,30;15,56;14,14;21,90;21,70;19,60;21,30;20,00;20,80;11,80;8,00
01037;Arraia-Maeztu;42,88;42,51;45,61;43,01;44,65;44,10;47,20;43,80;29,60;36,20;30,90;31,30
48009;Arrankudiaga;57,60;50,42;49,60;52,92;56,63;50,10;47,60;39,20;35,00;32,70;22,40;17,40
20055;Arrasate/Mondragón;64,58;65,70;63,30;64,50;65,81;64,90;66,20;59,40;58,40;51,00;47,60;43,20
48914;Arratzu;76,41;80,77;79,52;83,96;79,65;76,20;67,50;74,20;55,10;73,90;59,20;78,70
01008;Arratzua-Ubarrundia;79,06;79,65;76,76;76,46;82,12;81,10;78,10;77,20;79,20;76,80;84,90;66,80
48010;Arrieta;65,98;71,23;76,22;74,53;68,45;65,30;59,50;60,30;53,80;50,20;51,20;55,80
48011;Arrigorriaga;58,35;57,90;59,08;61,21;57,49;59,00;60,30;60,60;54,70;49,30;49,40;47,80
48023;Artea;45,83;46,97;42,90;39,55;38,81;38,70;42,20;34,60;40,80;34,80;58,40;59,30
48008;Artzentales;70,15;73,46;75,15;74,46;77,15;75,30;77,10;74,10;66,10;64,30;58,40;49,50
01004;Artziniega;53,87;53,50;54,67;60,45;63,78;61,10;47,50;46,80;45,10;39,20;43,10;42,30
01009;Asparrena;35,33;38,11;25,23;30,78;25,83;27,30;20,70;30,20;33,90;36,40;21,10;23,50
20014;Asteasu;25,43;25,62;27,59;28,41;25,66;24,80;25,30;23,90;22,20;15,90;15,00;18,30
20903;Astigarraga;66,71;64,40;60,28;57,52;57,41;58,70;56,80;54,80;50,60;48,70;49,50;54,70
20015;Ataun;65,77;70,61;65,29;66,65;67,75;67,00;71,30;66,90;59,00;49,90;43,00;45,10
48091;Atxondo;49,06;35,06;34,52;28,95;20,74;19,60;21,70;26,00;24,50;20,30;21,20;13,80
48070;Aulesti;53,67;46,56;53,40;52,24;50,89;50,30;44,60;37,80;37,80;30,90;27,70;40,60
01010;Ayala/Aiara;51,35;51,05;48,53;44,25;46,31;44,60;43,10;41,00;47,80;41,50;42,40;37,60
20017;Azkoitia;40,23;43,07;41,74;37,34;42,46;41,90;42,90;44,00;42,60;40,50;39,10;41,80
20018;Azpeitia;55,53;56,24;54,91;51,96;55,05;56,00;56,50;54,90;46,30;37,00;35,00;41,10
01049;Añana;51,17;50,84;49,95;49,78;68,20;64,90;62,40;69,20;47,00;59,70;51,30;55,90
48012;Bakio;83,24;85,25;85,96;89,58;88,75;86,20;86,70;85,70;64,60;45,70;37,00;60,20
20904;Baliarrain;47,04;52,96;50,00;52,10;46,82;50,70;53,50;71,30;70,00;31,00;34,50;52,80
48090;Balmaseda;76,73;78,77;76,80;80,20;74,50;72,50;69,20;71,50;71,80;59,30;58,70;54,60
48013;Barakaldo;86,11;84,50;84,35;84,56;83,49;83,70;78,50;80,20;84,00;73,00;65,40;68,40
48014;Barrika;90,52;90,69;90,98;90,34;86,90;84,40;77,80;82,50;85,70;80,60;55,90;70,60
01013;Barrundia;57,25;60,37;55,74;56,31;52,70;52,10;48,40;51,00;49,50;50,30;42,00;40,10
48015;Basauri;67,86;70,27;66,10;65,43;66,01;67,20;66,80;65,70;63,00;55,10;57,50;62,40
01011;Baños de Ebro/Mañueta;17,87;19,24;14,10;12,07;12,87;14,30;12,30;18,40;17,60;12,30;8,00;9,40
20019;Beasain;31,91;30,42;31,35;32,03;32,53;35,50;35,50;28,40;30,40;25,60;30,10;38,30
48092;Bedia;49,47;54,86;50,80;49,13;49,04;45,10;43,50;37,50;52,70;40,10;42,70;37,50
20020;Beizama;53,80;50,88;53,01;57,61;58,16;59,50;63,90;64,70;62,60;51,60;48,60;59,80
20021;Belauntza;19,99;21,87;20,31;17,26;19,72;22,20;21,00;24,10;23,70;17,30;14,80;15,40
48016;Berango;52,26;68,30;71,37;70,85;68,48;61,30;56,10;60,20;60,90;50,90;49,40;42,40
01014;Berantevilla;14,93;14,80;16,13;16,78;18,13;16,60;17,70;12,10;12,70;12,00;9,70;13,10
20022;Berastegi;22,98;24,29;23,56;23,07;24,35;21,90;23,20;26,90;25,70;28,60;15,50;14,70
20074;Bergara;44,33;47,62;45,36;45,90;47,37;48,80;47,80;47,40;38,60;36,90;39,50;36,90
48017;Bermeo;62,51;55,27;52,57;55,00;51,83;69,30;69,40;54,10;57,20;45,30;47,50;50,00
01016;Bernedo;69,77;68,32;71,38;64,81;71,76;69,10;66,50;66,60;55,70;55,10;73,20;69,70
48018;Berriatua;25,46;22,47;20,21;21,70;18,32;19,40;19,50;18,20;13,60;11,60;14,90;22,20
48019;Berriz;39,12;40,06;36,36;35,20;33,70;32,70;33,70;34,90;38,60;32,80;29,60;24,80
20023;Berrobi;70,04;62,20;62,03;60,03;66,85;68,30;67,70;37,80;36,00;24,10;26,70;26,30
