Indicadores municipales de sostenibilidad: Variación interanual en la cifra de empleo (%);;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;2,05;0,73;-1,56;0,66;2,80;2,14;3,34;1,56;-0,26;0,54;-2,80;-1,83;-1,35;-3,71;1,05;3,77;3,97;1,80;4,32;2,48;1,61
Bizkaia;;1,71;-0,06;-1,38;1,25;2,59;1,51;2,38;1,08;-0,95;-1,24;-2,15;-2,29;-1,60;-5,35;1,63;3,43;4,33;3,83;4,07;1,84;2,63
CAE;;1,80;0,24;-1,31;1,13;2,41;1,79;2,36;1,22;-0,65;-0,67;-2,06;-1,91;-1,76;-4,88;1,06;2,51;4,47;3,06;4,12;1,71;2,23
Gipuzkoa;;1,80;0,45;-1,09;1,17;1,94;2,02;1,83;1,26;-0,40;-0,39;-1,57;-1,36;-2,21;-4,72;0,22;2,55;4,94;2,53;4,10;1,16;1,93
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;3,10;-2,28;2,59;-0,82;-1,53;0,27;2,46;-1,04;5,48;2,24;-4,74;8,23;15,83;-7,40;3,33;3,92;2,99;;;;
01200;Arabako Lautada / Llanada Alavesa;2,21;1,21;-1,80;0,37;4,12;2,20;3,47;1,60;-0,11;1,55;-3,05;-2,64;-2,06;-3,30;1,07;2,91;3,95;;;;
01300;Arabako Mendialdea / Montaña Alavesa;1,12;-3,26;2,51;2,64;-2,78;-1,71;3,61;-7,82;7,80;1,28;-0,07;8,66;-2,78;-0,15;5,54;5,78;-0,91;;;;
48100;Arratia Nerbioi / Arratia-Nervión;1,31;-3,20;-2,81;1,76;1,85;0,57;3,58;-3,90;-0,34;-3,19;-1,96;-0,78;-3,65;-5,63;-1,49;0,11;5,70;;;;
20200;Bidasoa Beherea / Bajo Bidasoa;1,16;-1,39;-2,95;0,34;1,17;4,10;2,14;0,96;0,01;-1,23;-1,05;-0,80;-3,73;-6,49;-2,63;3,15;4,93;;;;
48200;Bilbo Handia / Gran Bilbao;1,93;-0,06;-1,26;1,06;2,75;1,35;2,51;0,65;-0,90;-1,11;-2,46;-3,19;-2,07;-5,34;2,14;2,91;4,71;;;;
20100;Deba Beherea / Bajo Deba;-0,54;-0,59;-1,93;-0,14;5,15;0,58;1,75;0,97;-0,60;0,37;-1,96;0,66;-1,78;-5,63;-0,94;1,02;1,89;;;;
20300;Debagoiena / Alto Deba;3,35;0,87;-1,73;1,02;-0,34;2,69;1,74;-0,57;-4,68;2,05;1,93;-3,43;-1,07;-3,50;-1,90;-1,31;1,25;;;;
20400;Donostialdea / Donostia-San Sebastián;1,80;0,49;-1,03;1,60;2,25;1,73;2,44;1,90;0,32;-0,75;-1,98;-2,38;-2,51;-3,96;1,11;1,67;6,19;;;;
48300;Durangaldea / Duranguesado;1,58;-1,84;-2,79;2,14;2,57;2,19;2,84;3,72;-1,92;-0,40;-0,40;0,90;0,12;-7,91;0,56;4,10;2,40;;;;
48400;Enkartazioak / Encartaciones;1,67;0,86;-1,89;2,15;0,46;1,83;1,76;-1,49;0,03;-4,12;-2,01;-1,05;5,03;-2,76;-1,67;3,66;4,50;;;;
01400;Errioxa Arabarra / Rioja Alavesa;2,45;-2,30;-1,85;3,25;0,66;4,28;5,59;5,83;1,18;-2,41;2,66;13,08;-1,09;-4,65;-1,03;2,64;5,26;;;;
48500;Gernika-Bermeo;0,15;0,26;-1,43;-0,22;2,00;0,82;2,89;1,69;0,32;-2,37;-2,23;6,60;-1,33;-6,84;-0,50;4,56;0,82;;;;
20500;Goierri;1,35;1,14;-1,50;1,65;3,20;1,87;-1,05;-0,22;1,57;-0,30;-1,82;0,34;-1,56;-8,13;1,11;4,64;4,68;;;;
01500;Gorbeia Inguruak / Estribaciones del Gorbea;0,58;2,27;-2,61;2,45;0,93;1,87;3,39;0,44;-5,08;-3,69;-4,28;-1,52;-2,92;-7,98;-0,75;-2,63;-0,10;;;;
01600;Kantauri Arabarra / Cantábrica Alavesa;0,07;-2,77;-2,46;1,23;-2,34;0,60;-0,24;1,45;-3,94;-2,92;-1,90;2,26;-0,09;-5,89;2,00;-2,75;5,70;;;;
48600;Markina-Ondarroa;-1,45;-0,18;-1,48;-2,73;-2,85;1,86;1,33;1,22;2,16;-2,30;1,37;7,44;0,99;-6,93;-1,97;2,65;3,06;;;;
48700;Plentzia-Mungia;2,03;2,33;-0,68;4,31;4,85;3,15;-2,01;8,85;-7,83;2,69;-2,56;-0,26;-0,95;0,55;2,16;3,61;6,16;;;;
20600;Tolosaldea / Tolosa;1,34;0,20;1,14;1,64;2,16;1,76;0,54;1,44;-0,54;-0,96;-2,21;1,52;-2,34;-4,64;2,51;3,50;5,06;;;;
20700;Urola-Kostaldea / Urola Costa;1,56;1,66;-0,50;-0,15;1,69;1,25;1,65;1,90;0,28;-1,51;-2,79;2,12;-3,29;-3,93;-0,74;3,16;5,59;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
48001;Abadiño;1,51;-1,26;-5,54;0,19;1,11;2,60;1,78;10,22;-0,67;-2,00;-1,73;2,93;-0,92;-7,10;-1,20;3,34;1,04;1,37;2,81;5,03;6,50
20001;Abaltzisketa;-5,43;-17,83;-11,30;33,08;0,00;17,70;20,21;-31,88;9,52;-11,89;-14,37;17,61;-8,97;-6,59;14,38;22,69;10,19;54,29;32,08;35,90;-54,65
48002;Abanto y Ciérvana-Abanto Zierbena;0,10;1,64;-4,93;0,79;3,79;1,64;-1,85;-1,80;0,24;-4,33;-7,45;1,29;-7,10;-6,25;0,04;3,30;5,95;6,42;-0,83;5,47;11,06
20002;Aduna;8,01;5,43;31,86;10,74;6,09;1,18;-1,29;-0,39;-6,39;5,47;-9,86;2,35;0,00;-8,58;1,53;1,89;-2,38;10,54;-3,58;1,76;-4,38
20016;Aia;-1,46;4,68;-8,47;2,24;1,34;-0,21;2,54;1,50;-0,53;-6,39;-7,06;12,19;-2,24;-9,41;-0,46;1,40;-2,72;5,65;13,71;4,31;9,71
20003;Aizarnazabal;2,66;40,44;2,02;6,95;-4,79;13,77;1,32;0,80;-0,79;-7,77;-12,71;-5,41;-1,96;-7,12;4,38;1,35;-4,43;7,97;3,08;4,28;-0,85
48911;Ajangiz;-2,99;-1,67;-17,46;1,81;-2,02;6,35;0,34;7,29;1,03;2,78;-3,16;11,72;6,17;-10,98;-8,77;9,07;-0,39;-13,67;18,37;6,11;0,74
20004;Albiztur;1,46;0,74;6,25;4,07;2,50;0,00;0,00;46,34;-38,35;-6,34;-5,96;4,86;-8,86;2,60;-0,65;4,03;3,47;29,73;6,73;0,97;3,00
20005;Alegia;-4,49;11,90;12,79;5,07;5,58;-2,71;-7,34;4,38;-2,77;3,52;1,79;19,89;0,54;-2,89;-6,16;2,27;-8,53;7,69;0,50;-4,07;0,97
01001;Alegría-Dulantzi;2,06;7,86;-1,85;-2,13;6,28;-16,23;-2,01;-2,51;-1,38;-0,41;-4,95;-5,19;-7,54;1,16;3,47;11,76;-0,40;13,79;10,18;-3,70;13,30
20006;Alkiza;8,93;-1,75;-13,64;-1,49;-5,63;-4,05;0,00;-7,50;5,26;1,33;4,17;26,32;-1,72;3,57;5,66;8,16;19,51;5,13;-7,14;7,69;0,00
48912;Alonsotegi;4,39;-0,12;3,21;7,97;8,51;-5,03;-3,33;-0,64;-3,56;4,89;-6,39;-8,29;-12,48;-11,32;7,66;2,46;-1,03;-4,56;10,79;-10,38;4,06
20906;Altzaga;-4,76;-19,23;-7,14;12,00;-3,85;0,00;0,00;8,33;9,09;-21,43;12,00;31,58;-9,52;10,53;5,56;0,00;5,88;-51,43;-2,78;140,00;-16,67
20007;Altzo;7,60;-0,60;6,77;14,39;-4,91;-1,72;-1,02;-3,30;6,69;-1,73;2,85;-5,70;3,11;-2,03;-13,49;8,60;34,19;7,34;4,81;-12,97;10,65
20008;Amezketa;3,23;4,49;2,59;2,97;-5,07;0,57;-4,08;0,00;-3,66;3,24;3,93;12,30;-2,76;-0,31;0,93;3,18;7,90;1,04;-1,03;0,00;-1,36
48003;Amorebieta-Etxano;2,05;-2,30;-1,90;5,09;3,16;3,03;4,30;7,67;-2,26;-2,93;6,27;5,34;-0,65;-2,52;10,63;9,86;6,71;1,41;6,58;6,34;6,60
48004;Amoroto;11,90;1,45;-7,59;9,80;7,94;-6,44;-1,94;-2,83;6,53;-20,72;8,66;14,36;3,06;-14,41;-2,97;19,80;4,23;-4,55;-1,49;-10,67;17,19
01002;Amurrio;0,18;-2,33;-3,52;-2,08;0,46;-0,98;-1,61;6,37;-1,12;-6,30;0,24;3,21;2,55;-4,13;4,02;3,35;1,63;2,26;1,03;5,92;1,95
20009;Andoain;2,09;0,02;-2,27;0,59;-0,04;1,25;0,92;-0,34;-1,91;1,04;-6,35;-1,70;-2,32;-6,53;0,23;0,59;4,64;4,78;6,01;-0,08;0,71
20010;Anoeta;1,37;1,01;-0,88;0,88;5,87;1,35;2,50;-1,90;-1,47;-2,99;0,00;9,08;-3,56;-0,95;5,58;2,49;1,19;21,88;1,10;3,21;-0,38
20011;Antzuola;-0,25;0,25;-0,75;-1,72;-4,92;1,07;1,44;1,96;2,90;-5,25;-8,32;4,34;0,92;-8,54;5,56;0,56;-0,78;-3,94;2,74;-0,11;-1,83
